--- Step 5: Running mutation testing with MutPy (Attempt 1) ---
[INFO] Running MutPy for target: mutation_output\selected_functions.py, tests: mutation_output\test_generated_mutants.py
[*] Start mutation process:
   - targets: selected_functions
   - tests: test_generated_mutants
[*] 15 tests passed:
   - test_generated_mutants [0.65463 s]
[*] Start mutants generation and execution:
   - [#   1] AOD selected_functions: [0.24041 s] survived
   - [#   2] AOD selected_functions: [0.20517 s] survived
   - [#   3] AOD selected_functions: [0.22195 s] survived
   - [#   4] AOD selected_functions: [0.22843 s] survived
   - [#   5] AOR selected_functions: [0.21600 s] survived
   - [#   6] AOR selected_functions: [0.20281 s] survived
   - [#   7] AOR selected_functions: [0.21751 s] survived
   - [#   8] AOR selected_functions: [0.26018 s] survived
   - [#   9] ASR selected_functions: [0.34251 s] killed by test_generated_mutants.py::test_sad_happy_level_positive
   - [#  10] COD selected_functions: [0.26219 s] killed by test_generated_mutants.py::test_toggle_pupils_eyes_not_crossed
   - [#  11] COD selected_functions: [0.27161 s] killed by test_generated_mutants.py::test_toggle_tongue_tongue_not_out
   - [#  12] COI selected_functions: [0.23102 s] killed by test_generated_mutants.py::test_sad_happy_level_positive
   - [#  13] COI selected_functions: [0.26767 s] killed by test_generated_mutants.py::test_show_happy_within_range
   - [#  14] COI selected_functions: [0.31054 s] killed by test_generated_mutants.py::test_toggle_pupils_eyes_not_crossed
   - [#  15] COI selected_functions: [0.26196 s] killed by test_generated_mutants.py::test_toggle_tongue_tongue_not_out
   - [#  16] CRP selected_functions: [0.22907 s] survived
   - [#  17] CRP selected_functions: [0.21450 s] survived
   - [#  18] CRP selected_functions: [0.00000 s] incompetent
   - [#  19] CRP selected_functions: [0.21016 s] survived
   - [#  20] CRP selected_functions: [0.24778 s] survived
   - [#  21] CRP selected_functions: [0.21820 s] survived
   - [#  22] CRP selected_functions: [0.25867 s] survived
   - [#  23] CRP selected_functions: [0.21701 s] survived
   - [#  24] CRP selected_functions: [0.24450 s] survived
   - [#  25] CRP selected_functions: [0.21036 s] survived
   - [#  26] CRP selected_functions: [0.20794 s] survived
   - [#  27] CRP selected_functions: [0.20040 s] survived
   - [#  28] CRP selected_functions: [0.20023 s] survived
   - [#  29] CRP selected_functions: [0.22135 s] survived
   - [#  30] CRP selected_functions: [0.23157 s] survived
   - [#  31] CRP selected_functions: [0.21680 s] survived
   - [#  32] CRP selected_functions: [0.25698 s] survived
   - [#  33] CRP selected_functions: [0.21089 s] survived
   - [#  34] CRP selected_functions: [0.20317 s] survived
   - [#  35] CRP selected_functions: [0.19517 s] survived
   - [#  36] CRP selected_functions: [0.21844 s] survived
   - [#  37] CRP selected_functions: [0.23121 s] survived
   - [#  38] CRP selected_functions: [0.20147 s] survived
   - [#  39] CRP selected_functions: [0.20042 s] survived
   - [#  40] CRP selected_functions: [0.20793 s] survived
   - [#  41] CRP selected_functions: [0.21137 s] survived
   - [#  42] CRP selected_functions: [0.19431 s] survived
   - [#  43] CRP selected_functions: [0.22979 s] survived
   - [#  44] CRP selected_functions: [0.22849 s] survived
   - [#  45] CRP selected_functions: [0.21326 s] survived
   - [#  46] CRP selected_functions: [0.19974 s] survived
   - [#  47] CRP selected_functions: [0.20734 s] survived
   - [#  48] CRP selected_functions: [0.00000 s] incompetent
   - [#  49] CRP selected_functions: [0.19961 s] survived
   - [#  50] CRP selected_functions: [0.00000 s] incompetent
   - [#  51] CRP selected_functions: [0.20726 s] survived
   - [#  52] CRP selected_functions: [0.21443 s] survived
   - [#  53] CRP selected_functions: [0.23003 s] survived
   - [#  54] CRP selected_functions: [0.19704 s] survived
   - [#  55] CRP selected_functions: [0.19335 s] survived
   - [#  56] CRP selected_functions: [0.00000 s] incompetent
   - [#  57] CRP selected_functions: [0.20794 s] survived
   - [#  58] CRP selected_functions: [0.00000 s] incompetent
   - [#  59] CRP selected_functions: [0.20416 s] survived
   - [#  60] CRP selected_functions: [0.19590 s] survived
   - [#  61] CRP selected_functions: [0.22138 s] survived
   - [#  62] CRP selected_functions: [0.20742 s] survived
   - [#  63] CRP selected_functions: [0.21711 s] survived
   - [#  64] CRP selected_functions: [0.00000 s] incompetent
   - [#  65] CRP selected_functions: [0.20466 s] survived
   - [#  66] CRP selected_functions: [0.00000 s] incompetent
   - [#  67] CRP selected_functions: [0.20202 s] survived
   - [#  68] CRP selected_functions: [0.20602 s] survived
   - [#  69] CRP selected_functions: [0.21230 s] survived
   - [#  70] CRP selected_functions: [0.22339 s] survived
   - [#  71] CRP selected_functions: [0.19934 s] survived
   - [#  72] CRP selected_functions: [0.00000 s] incompetent
   - [#  73] CRP selected_functions: [0.21704 s] survived
   - [#  74] CRP selected_functions: [0.00000 s] incompetent
   - [#  75] CRP selected_functions: [0.20797 s] survived
   - [#  76] CRP selected_functions: [0.19501 s] survived
   - [#  77] CRP selected_functions: [0.20073 s] survived
   - [#  78] CRP selected_functions: [0.22828 s] survived
   - [#  79] CRP selected_functions: [0.20737 s] survived
   - [#  80] CRP selected_functions: [0.20202 s] survived
   - [#  81] CRP selected_functions: [0.21650 s] survived
   - [#  82] CRP selected_functions: [0.00000 s] incompetent
